Cuối thế kỷ XIX vai trò của hệ tư tưởng phong kiến ở Việt Nam trước các nhiệm vụ lịch sử: | Đã lỗi thời.
Cuối thế kỷ XIX, đầu thế kỷ XX chủ nghĩa tư bản chuyển sang giai đoạn: | Độc quyền.
 Cuối thế kỷ XIX, tại các nước nhược tiểu ở châu Á, châu Phi, và khu vực Mỹ Latinh còn sự bóc lột phong kiến và bao trùm lên nó là sự bóc lột: | Tư bản chủ nghĩa.
Một trong các tiền đề tư tưởng, lý luận của tư tưởng Hồ Chí Minh là giá trị: | Truyền thống dân tộc.
Một trong các tiền đề tư tưởng, lý luận của tư tưởng Hồ Chí Minh là tinh hoa: | Văn hoá nhân loại.
Một trong các tiền đề tư tưởng, lý luận của tư tưởng Hồ Chí Minh là: | Chủ nghĩa Mác-Lênin.
Một trong hai nhân tố chủ quan tác động đến hình thành tư tưởng Hồ Chí Minh là: | Khả năng tư duy và trí tuệ Hồ Chí Minh.
Một trong hai nhân tố chủ quan tác động đến hình thành tư tưởng Hồ Chí Minh là năng lực hoạt động thực tiễn và: | Phẩm chất đạo đức.
Giai đoạn hình thành tư tưởng yêu nước, chí hướng cứu nước của Nguyễn Aí Quốc là: | Trước năm 1911.
Giai đoạn Nguyễn Aí Quốc tìm thấy con đường cứu nước, giải phóng dân tộc là: | Từ 1911 đến 1920.
Giai đoạn hình thành cơ bản tư tưởng Hồ Chí Minh về con đường cách mạng Việt Nam là: | Từ 1921 đến 1930.
Giai đoạn tư tưởng Hồ Chí Minh vượt qua thử thách, kiên trì giữ vững lập trường cách mạng: | Từ 1930 đến 1945.
Những tác phẩm lý luận của Nguyễn Aí Quốc chứa đựng nội dung cơ bản là: Cách mạng giải phóng dân tộc trong thời đại mới phải đi theo con đường cách mạng vô sản là vào giai đoạn nào? | Từ 1921 đến 1930.
Tư tưởng Cách mạng thuộc địa có thể giành thắng lợi trước Cách mạng ở chính quốc được Nguyễn Aí Quốc nhận ra vào giai đoạn nào? | Từ 1921 đến 1930.
Theo chỉ đạo của Quốc tế Cộng sản, Hội nghị Trung ương của Đảng ta, đã ra nghị quyết thủ tiêu Chánh cương và Sách lược vắn tắt của Nguyễn Ái Quốc vào: | Tháng 10-1930.
Tư tưởng Hồ Chí Minh là có vai trò thế nào cho việc Đảng ta vạch ra đường lối cách mạng đúng đắn? | Nền tảng vững chắc.
Một đóng góp to lớn của Hồ Chí Minh là Người đã xác định kẻ thù lớn nhất của các dân tộc bị áp bức là chủ nghĩa: | Đế quốc.
